Label,Httpchk,Rank,domain_registration_length,age_domain,ssl,Having_IP,URL_Length,urlpath_length,Host_Length,Tokens,No_of_specialchar,No_of_slash,No_of_hyphen,Dots_in_url,Security_sensitive,getASN,tiny_url,Redirection_//_symbol,i_frame,links_in_tags,url_of_anchor
1,1,-1,-1,-1,1,0,0,0,32,5,6,0,1,0,0,-1,0,0,-1,-1,-1
1,0,-1,-1,-1,-1,0,0,4,27,5,6,0,0,0,0,32392,0,0,0,0,0
1,0,-1,1,0,-1,0,1,30,18,8,9,0,0,0,1,20013,0,0,0,0,0
1,1,-1,-1,-1,1,0,0,0,33,6,7,0,2,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,0,0,1,1,29,10,15,0,0,0,0,-1,0,0,0,0,0
1,0,0,-1,-1,1,0,0,0,35,4,5,0,0,0,0,-1,0,0,-1,-1,-1
1,0,-1,1,0,1,0,0,11,15,5,6,0,0,0,0,44050,0,0,-1,-1,-1
1,0,-1,-1,-1,1,0,1,11,15,11,13,0,0,0,0,-1,0,0,-1,-1,-1
1,0,-1,-1,-1,0,0,1,13,6,7,8,0,0,0,0,24940,0,0,0,0,1
1,1,1,1,0,-1,0,0,17,18,4,6,0,0,0,0,46606,1,0,0,0,4
1,0,1,-1,-1,1,0,0,0,25,4,5,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,0,23,4,5,0,0,0,0,-1,0,0,-1,-1,-1
1,0,-1,-1,-1,1,0,1,15,8,57,89,0,0,1,0,29761,0,0,-1,-1,-1
1,0,-1,1,0,1,0,0,9,20,4,5,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,0,29,6,7,0,2,0,1,-1,0,0,-1,-1,-1
1,0,-1,-1,-1,1,0,0,0,28,5,6,0,1,0,0,-1,0,0,-1,-1,-1
1,1,-1,1,0,1,0,0,14,33,7,8,0,1,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,28,13,6,7,0,0,0,0,-1,0,0,-1,-1,-1
1,0,-1,-1,-1,1,0,0,0,25,4,5,0,0,0,0,-1,0,0,-1,-1,-1
1,0,0,1,0,-1,0,1,50,24,11,19,0,0,0,0,-1,0,0,0,0,0
1,1,0,-1,-1,1,0,0,0,23,4,5,0,0,0,0,-1,1,0,-1,-1,-1
1,0,-1,-1,-1,1,0,0,0,33,4,5,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,0,33,3,4,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,0,0,1,0,1,22,26,7,8,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,0,0,1,1,20,10,16,0,0,0,0,-1,0,0,0,0,0
1,0,-1,-1,-1,-1,0,0,7,27,4,5,0,0,0,0,40034,0,0,0,0,0
1,1,-1,-1,-1,-1,0,0,5,16,4,5,0,0,0,0,46606,0,0,0,93,12
1,1,-1,-1,-1,1,0,0,26,18,6,7,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,11,22,5,6,0,0,0,0,-1,0,0,-1,-1,-1
1,1,1,-1,-1,-1,0,0,11,14,5,6,0,0,0,0,-1,0,0,0,0,0
